Dress Code,Tops,Bottoms,Socks,Shoes
student casual,parka,miniskirt,tights,boots
student casual,parka,miniskirt,tights,loafers
student casual,sweater,pants,none,loafers
student casual,t-shirt,jeans,anklets,sneakers
student casual,t-shirt,miniskirt,socks,loafers
student casual,parka,pants,none,boots
student casual,t-shirt,skirt,socks,boots
student casual,parka,pants,none,boots
student casual,sweater,pants,socks,boots
student casual,sweater,jeans,socks,sneakers
student casual,sweater,pants,none,sneakers
student casual,parka,jeans,none,sneakers
student casual,onepiece,none,socks,loafers
student casual,onepiece,none,socks,loafers
student casual,parka,miniskirt,socks,sneakers
student casual,parka,long skirt,none,boots
student casual,shirt,miniskirt,socks,loafers
student casual,t-shirt,jeans,none,sneakers
student casual,shirt,miniskirt,socks,sneakers
student casual,shirt,pants,none,loafers
student casual,shirt,pants,none,sneakers
student casual,parka,jeans,none,boots
student casual,t-shirt,long skirt,anklets,sneakers
student casual,parka,pants,none,sneakers
student casual,parka,pants,none,loafers
student casual,parka,miniskirt,none,boots
student casual,sweater,pants,none,boots
student casual,parka,jeans,none,sneakers
student casual,parka,jeans,none,sneakers
student casual,parka,long skirt,none,sneakers
student casual,parka,pants,none,sneakers
student casual,t-shirt,jeans,none,pumps
student casual,shirt,miniskirt,none,boots
student casual,onepiece,none,socks,loafers
student casual,sweater,jeans,none,boots
student casual,sweater,long skirt,none,boots
student casual,sweater,long skirt,none,pumps
student casual,sweater,miniskirt,knee socks,boots
student casual,parka,pants,none,sneakers
student casual,shirt,skirt,socks,loafers
student casual,sweater,long skirt,none,boots
student casual,parka,long skirt,anklets,sneakers
student casual,sweater,pants,none,sneakers
student casual,sweater,miniskirt,none,long boots
student casual,sweater,short pants,socks,boots
student casual,shirt,miniskirt,socks,boots
student casual,sweater,pants,none,loafers
student casual,parka,long skirt,none,sneakers
student casual,onepiece,none,tights,boots
student casual,t-shirt,jeans,none,sneakers
student casual,sweater,long skirt,socks,sneakers
student casual,sweater,jeans,none,sneakers
student casual,parka,pants,none,boots
student casual,onepiece,none,none,boots
student casual,parka,jeans,none,sneakers
student casual,parka,skirt,socks,loafers
student casual,shirt,pants,none,pumps
student casual,parka,pants,none,boots
student casual,shirt,pants,none,boots
student casual,parka,long skirt,none,boots
student casual,onepiece,none,socks,sneakers
student casual,t-shirt,pants,none,sneakers
student casual,sweater,pants,none,sneakers
student casual,parka,short pants,socks,sneakers
student casual,parka,pants,none,boots
student casual,sweater,pants,none,sneakers
student casual,shirt,jeans,none,sneakers
student casual,shirt,miniskirt,knee socks,boots
student casual,sweater,miniskirt,knee socks,boots
student casual,sweater,long skirt,socks,loafers
student casual,parka,pants,none,sneakers
student casual,sweater,long skirt,socks,boots
student casual,parka,short pants,socks,sneakers
student casual,shirt,pants,none,pumps
student casual,sweater,long skirt,none,sneakers
student casual,parka,miniskirt,socks,loafers
student casual,parka,short pants,none,boots
student casual,t-shirt,jeans,none,pumps
student casual,shirt,long skirt,none,loafers
student casual,parka,short pants,tights,boots
student casual,sweater,short pants,tights,boots
student casual,onepiece,none,socks,boots
student casual,t-shirt,pants,none,sneakers
student casual,parka,jeans,none,sneakers
student casual,parka,short pants,socks,sneakers
student casual,t-shirt,short pants,none,sneakers
student casual,parka,miniskirt,socks,sneakers
student casual,shirt,miniskirt,none,pumps
student casual,t-shirt,jeans,none,pumps
student casual,onepiece,none,socks,loafers
student casual,parka,short pants,socks,boots
student casual,t-shirt,jeans,none,sneakers
student casual,parka,pants,none,sneakers
student casual,parka,jeans,none,sneakers
student casual,shirt,miniskirt,socks,sneakers
student casual,parka,pants,socks,sneakers
student casual,onepiece,none,socks,boots
student casual,parka,jeans,none,sneakers
student casual,t-shirt,jeans,none,sneakers
student casual,parka,jeans,none,sneakers
